id,type,nr,date,url
205,wintibrief,194,2026-02-05,https://mailchi.mp/wnti/andreas-geering-steht-in-der-mitte
206,wintibrief,195,2026-02-06,https://mailchi.mp/wnti/warum-christa-meier-das-wort-kompromiss-nicht-mag
207,wintibrief,196,2026-02-09,https://mailchi.mp/wnti/auf-der-spur-des-generationengrabens
208,wintibrief,197,2026-02-10,https://mailchi.mp/wnti/nicht-alle-schulden-sind-schlecht-ich-will-in-die-zukunft-investieren-knnen-65q43nc2ip
209,wintibrief,198,2026-02-11,https://mailchi.mp/wnti/man-muss-auch-die-im-blick-haben-die-es-gerne-anders-gehabt-htten
210,wintibrief,199,2026-02-12,https://mailchi.mp/wnti/lokale-stimmen-zu-den-nationalen-vorlagen
211,wintibrief,200,2026-02-13,https://mailchi.mp/wnti/i28i2jc982
212,wintibrief,201,2026-02-16,https://mailchi.mp/wnti/alles-oder-nichts-im-schnee-von-livigno
213,wintibrief,202,2026-02-17,https://mailchi.mp/wnti/sometimes-we-have-to-accept-that-there-is-no-way-out
214,wintibrief,203,2026-02-18,https://mailchi.mp/wnti/einmal-eine-magierin-sein-faszination-rollenspiel-in-der-nacht-der-legenden-iwrjvlky0y
215,wintibrief,204,2026-02-19,https://mailchi.mp/wnti/wie-geht-es-queers-in-winterthur
216,wintibrief,205,2026-02-20,https://mailchi.mp/wnti/traumjob-stadtrat-nicolas-gallad-bewirbt-sich-um-die-fnfte-amtszeit
217,wintibrief,206,2026-02-24,https://mailchi.mp/wnti/baustopp-und-bruderhaus-debakel-stadtratskandidierende-im-praxistest
218,wintibrief,207,2026-02-25,https://mailchi.mp/wnti/ja-es-ist-immer-noch-mein-herzensdepartement
219,wintibrief,208,2026-02-26,https://mailchi.mp/wnti/wenn-bilder-lgen
220,wintibrief,209,2026-02-27,https://mailchi.mp/wnti/ein-it-rebell-wehrt-sich-gegen-website-sperren
221,wintibrief,210,2026-03-02,https://mailchi.mp/wnti/gewerkschaft-droht-fahren-am-dienstag-keine-busse
222,parlamentsbrief,11,2026-03-03,https://mailchi.mp/wnti/parlamentsbrief-380-millionen-fr-ara-alter-und-abwrme
223,wintibrief,211,2026-03-03,https://mailchi.mp/wnti/der-erste-stadtbus-streik-in-der-geschichte
224,wintibrief,212,2026-03-04,https://mailchi.mp/wnti/wahlcouvert-noch-nicht-eingeworfen-ein-sarkastischer-berblick-fr-kurzentschlossene
225,wintibrief,213,2026-03-05,https://mailchi.mp/wnti/ein-kanalbad-fr-die-eulach
226,wintibrief,214,2026-03-06,https://mailchi.mp/wnti/ein-kunstkiosk-und-mehr-bnkli-fr-die-altstadt
227,wintibrief,215,2026-03-09,https://mailchi.mp/wnti/im-stadtrat-gewinnen-die-brgerlichen-im-parlament-die-pole
228,parlamentsbrief,12,2026-03-10,https://mailchi.mp/wnti/parlamentsbrief-der-neue-richtplan-ist-zur-hlfte-beschlossen
229,wintibrief,216,2026-03-10,https://mailchi.mp/wnti/angst-wo-geborgenheit-sein-sollte
230,wintibrief,217,2026-03-11,https://mailchi.mp/wnti/die-airbnbs-in-veltheim-sind-weg-der-betreiber-auch
231,wintibrief,218,2026-03-12,https://mailchi.mp/wnti/holabox-leidet-unter-diebsthlen-23y0pt4exq
232,wintibrief,219,2026-03-13,https://mailchi.mp/wnti/bei-manor-brennt-die-tiefgarage-und-im-fotomuseum-single-herzen
233,wintibrief,220,2026-03-16,https://mailchi.mp/wnti/wo-wird-in-zukunft-kultur-stattfinden-und-kommt-es-zu-einem-erneuten-busstreik-vi2gb1ilbr
234,wintibrief,221,2026-03-17,https://mailchi.mp/wnti/wildes-winti-bsi-setzt-haarsalon-unter-wasser-und-krhen-machen-die-menschen-hssig
235,wintibrief,222,2026-03-18,https://mailchi.mp/wnti/mit-geld-gegen-die-wohnungsnot
236,wintibrief,223,2026-03-19,https://mailchi.mp/wnti/2037-in-12-minuten-von-winti-bis-zri
